Home Team,Away Team,Venue,Match Week,Date
HKIS Div 13,SocGen Squash,HK Squash Centre,10,2025-01-10
Kinetic 4,HKIS Div 13,HK Squash Centre,13,2025-02-07
Energy Squash Club 2,SocGen Squash,HK Squash Centre,13,2025-02-07
Energy Squash Club 2,HKIS Div 13,HK Squash Centre,15,2025-02-21
Electrify Squash Div 13,SocGen Squash,HK Squash Centre,15,2025-02-21
Sha Tin 6,Electrify Squash Div 13,HK Squash Centre,16,2025-02-28
SocGen Squash,Fusion Squash Club 2,HK Squash Centre,18,2025-03-14
HKIS Div 13,Fusion Squash Club 2,HK Squash Centre,20,2025-03-28
Energy Squash Club 2,Electrify Squash Div 13,HK Squash Centre,20,2025-03-28
SocGen Squash,HKIS Div 13,HK Squash Centre,21,2025-04-11
