Team,Played,Won,Lost,Points,Rubbers For,Rubbers Against,CRs Given,CRs Received,WOs Given,WOs Received
SKCSC M4,1,1,0,6,5,0,0,0,0,0
Hong Kong Football Club M4A,1,1,0,5,4,1,0,0,0,0
Hong Kong Club Blue,1,1,0,4,3,2,0,0,0,0
WAKO,1,1,0,4,3,2,0,0,0,0
Royal Hong Kong Yacht Club M4,1,1,0,4,3,2,0,0,0,0
Hong Kong Cricket Club M4,1,0,1,2,2,3,0,0,0,0
United Services Recreation Club M4,1,0,1,2,2,3,0,0,0,0
Kowloon Cricket Club M4,1,0,1,2,2,3,0,0,0,0
Hong Kong Football Club M4B,1,0,1,1,1,4,0,0,0,0
Bolton,1,0,1,0,0,5,0,0,0,0
