Home Team,Away Team,Venue,Match Week,Date,Overall Score,Rubbers,Home Score,Away Score,Home Games Won,Away Games Won,VenueType,Winner Rubber 1,Winner Rubber 2,Winner Rubber 3,Winner Rubber 4,Winner Rubber 5
North District Sports Association 3,HKIS Div 15,Pei Ho Street Sports Centre,3,18/10/2025,5-0,"['3-0', 'WO', '3-0', '3-1', '3-0']",5,0,15,1,home,North District Sports Association 3,,North District Sports Association 3,North District Sports Association 3,North District Sports Association 3
Squashathon X,United Services Recreation Club 4,HK Squash Centre,3,18/10/2025,3-2,"['0-3', '0-3', '3-1', 'CR', 'CR']",3,2,9,7,home,United Services Recreation Club 4,United Services Recreation Club 4,Squashathon X,,
Royal Hong Kong Yacht Club Div 15,United Services Recreation Club 4,Royal Hong Kong Yacht Club,4,25/10/2025,3-2,"['0-3', '3-2', '0-3', '3-1', '3-0']",3,2,9,9,home,United Services Recreation Club 4,Royal Hong Kong Yacht Club Div 15,United Services Recreation Club 4,Royal Hong Kong Yacht Club Div 15,Royal Hong Kong Yacht Club Div 15
HKIS Div 15,Squashathon X,HK Squash Centre,4,25/10/2025,0-5,"['0-3', '0-3', '0-3', '1-3', '0-3']",0,5,1,15,shared_home,Squashathon X,Squashathon X,Squashathon X,Squashathon X,Squashathon X
Hong Kong Cricket Club D15,North District Sports Association 3,Hong Kong Cricket Club,4,25/10/2025,5-0,"['3-0', '3-0', '3-1', '3-0', '3-0']",5,0,15,1,home,Hong Kong Cricket Club D15,Hong Kong Cricket Club D15,Hong Kong Cricket Club D15,Hong Kong Cricket Club D15,Hong Kong Cricket Club D15
Squash Busters,Sha Tin 6,Cornwall Street Squash Centre,4,25/10/2025,4-1,"['0-3', '3-2', '3-0', '3-0', '3-0']",4,1,12,5,away,Sha Tin 6,Squash Busters,Squash Busters,Squash Busters,Squash Busters
Sha Tin 6,Royal Hong Kong Yacht Club Div 15,Cornwall Street Squash Centre,5,22/11/2025,1-4,"['2-3', '1-3', '0-3', '3-0', '0-3']",1,4,6,12,home,Royal Hong Kong Yacht Club Div 15,Royal Hong Kong Yacht Club Div 15,Royal Hong Kong Yacht Club Div 15,Sha Tin 6,Royal Hong Kong Yacht Club Div 15
North District Sports Association 3,Squash Busters,Pei Ho Street Sports Centre,5,22/11/2025,2-3,"['0-3', '1-3', '0-3', '3-1', '3-0']",2,3,7,10,home,Squash Busters,Squash Busters,Squash Busters,North District Sports Association 3,North District Sports Association 3
Squashathon X,Hong Kong Cricket Club D15,HK Squash Centre,5,22/11/2025,2-3,"['2-3', '0-3', '3-1', '1-3', '3-2']",2,3,9,12,home,Hong Kong Cricket Club D15,Hong Kong Cricket Club D15,Squashathon X,Hong Kong Cricket Club D15,Squashathon X
United Services Recreation Club 4,HKIS Div 15,United Services Recreation Club,5,22/11/2025,5-0,"['3-0', '3-0', '3-0', '3-0', '3-2']",5,0,15,2,home,United Services Recreation Club 4,United Services Recreation Club 4,United Services Recreation Club 4,United Services Recreation Club 4,United Services Recreation Club 4
Royal Hong Kong Yacht Club Div 15,HKIS Div 15,Cornwall Street Squash Centre,6,29/11/2025,4-1,"['3-0', '3-0', '0-3', 'CR', 'CR']",4,1,12,3,neutral,Royal Hong Kong Yacht Club Div 15,Royal Hong Kong Yacht Club Div 15,HKIS Div 15,,
Hong Kong Cricket Club D15,United Services Recreation Club 4,Hong Kong Cricket Club,6,29/11/2025,3-2,"['0-3', '3-2', '3-1', '0-3', '3-0']",3,2,9,9,home,United Services Recreation Club 4,Hong Kong Cricket Club D15,Hong Kong Cricket Club D15,United Services Recreation Club 4,Hong Kong Cricket Club D15
Squash Busters,Squashathon X,Kwun Chung Sports Centre,6,29/11/2025,3-2,"['1-3', '3-0', '0-3', 'WO', 'CR']",3,2,10,6,home,Squashathon X,Squash Busters,Squashathon X,,
Sha Tin 6,North District Sports Association 3,Cornwall Street Squash Centre,6,29/11/2025,3-2,"['3-0', '3-0', '0-3', '3-0', '0-3']",3,2,9,6,home,Sha Tin 6,Sha Tin 6,North District Sports Association 3,Sha Tin 6,North District Sports Association 3
North District Sports Association 3,Royal Hong Kong Yacht Club Div 15,Cornwall Street Squash Centre,7,13/12/2025,1-4,"['0-3', '0-3', '0-3', '2-3', '3-0']",1,4,5,12,neutral,Royal Hong Kong Yacht Club Div 15,Royal Hong Kong Yacht Club Div 15,Royal Hong Kong Yacht Club Div 15,Royal Hong Kong Yacht Club Div 15,North District Sports Association 3
Squashathon X,Sha Tin 6,HK Squash Centre,7,13/12/2025,3-2,"['0-3', '3-0', '3-0', '3-2', '0-3']",3,2,9,8,home,Sha Tin 6,Squashathon X,Squashathon X,Squashathon X,Sha Tin 6
United Services Recreation Club 4,Squash Busters,United Services Recreation Club,7,13/12/2025,1-4,"['3-0', '1-3', '0-3', 'CR', 'CR']",1,4,4,12,home,United Services Recreation Club 4,Squash Busters,Squash Busters,,
HKIS Div 15,Hong Kong Cricket Club D15,HK Squash Centre,7,13/12/2025,0-5,"['0-3', '0-3', '0-3', '0-3', '0-3']",0,5,0,15,home,Hong Kong Cricket Club D15,Hong Kong Cricket Club D15,Hong Kong Cricket Club D15,Hong Kong Cricket Club D15,Hong Kong Cricket Club D15
Royal Hong Kong Yacht Club Div 15,Hong Kong Cricket Club D15,Royal Hong Kong Yacht Club,8,20/12/2025,2-3,"['2-3', '3-1', '1-3', '0-3', '3-0']",2,3,9,10,home,Hong Kong Cricket Club D15,Royal Hong Kong Yacht Club Div 15,Hong Kong Cricket Club D15,Hong Kong Cricket Club D15,Royal Hong Kong Yacht Club Div 15
HKIS Div 15,Squash Busters,Cornwall Street Squash Centre,8,20/12/2025,0-5,"['CR', 'CR', 'CR', 'CR', 'CR']",0,5,0,15,neutral,,,,,
United Services Recreation Club 4,Sha Tin 6,United Services Recreation Club,8,20/12/2025,4-1,"['3-0', '0-3', '3-0', '3-0', 'CR']",4,1,12,3,home,United Services Recreation Club 4,Sha Tin 6,United Services Recreation Club 4,United Services Recreation Club 4,
Squashathon X,North District Sports Association 3,Kwun Chung Sports Centre,8,20/12/2025,3-2,"['3-0', '3-0', '2-3', '3-0', 'CR']",3,2,14,3,neutral,Squashathon X,Squashathon X,North District Sports Association 3,Squashathon X,
