Team,Most Games,Most Wins,Highest Win Percentage
Airporterz,Lam Hoi Ha (20),"Fong Ming Fung, Ho Cheuk Yin (13)",Leung Kar Ho (90.0%)
CSD Squash Team,Lau Douglas Kin Chung (20),Lau Douglas Kin Chung (10),Lau Douglas Kin Chung (50.0%)
Global Squash 2,Law Hong Ting Kelvin (19),Law Hong Ting Kelvin (19),"Law Hong Ting Kelvin, Cheng Jonathan Yee Fung (100.0%)"
Hong Kong Football Club 16,Chew Alexander (17),Chew Alexander (12),Lam Wai Ming (83.3%)
Kinetic 3,"Tang Keng Io, Chan Wai Kean (20)",Chan Wai Kean (19),"Chau Hang Henry, Lee Henry Kwok Chung (100.0%)"
Latecomers,"Ng Ngo Ching Matthew, Cheung Chun Ning, Chung Wai Yin (20)",Ng Ngo Ching Matthew (13),Ng Ngo Ching Matthew (65.0%)
SQUASHTASTIC 8,Chiu Wai Yin (16),Wan Chun Yat (10),Wan Chun Yat (83.3%)
Sha Tin Squash Rackets Club 6,Fung Wing Hing (23),Poon Raymond Wai Man (19),Chan Penny Miu Kwan (94.4%)
Star River 2,Leung Wai Kwan (15),Leung Wai Kwan (11),Leung Wai Kwan (73.3%)
Winter Warriors,Gupta Akhil (20),Gupta Akhil (11),Hutchins Darren (71.4%)
ZOMA,Pang Edward Sze Ho (20),Cheung Ken Wai Luen (11),Lee Tom Bo Yuen (100.0%)
i-Mask Advance Squash Club 6,Chong Tin Hang (21),Chong Tin Hang (7),Lee Winston Kim Wa (36.4%)
