Team,Most Games,Most Wins,Highest Win Percentage
7NT,"Fu Ivan Fuk Cheong, Tang Terry Kin Ming (22)",Chan Raymond Tsan Fai (17),Chan Raymond Tsan Fai (85.0%)
Hong Kong Cricket Club Rockers,"Heritage Jonathan Paul, Bradbury Adrian (17)",Heritage Jonathan Paul (16),Heritage Jonathan Paul (94.1%)
Hong Kong Football Club 15,"Jones Robert F., Chan Gordon Yiu Cheong, Porter Darrell Lee (19)",Jones Robert F. (16),Jones Robert F. (84.2%)
Invader Squash,"Liu Vincent Wing Sang, Leung Freddie Ping Wah (20)",Leung Freddie Ping Wah (11),Leung Freddie Ping Wah (55.0%)
Physical Chess 4,Lee Kwan Ho (21),"Wong Long Seng Anson, Tung Chun Keung Anson (14)",Yau Simpson Shin Hang (100.0%)
SKCSC,Chan Kin Hung Kit (22),Leung Michael Yan Por (11),Sze Kin Fun (83.3%)
Sha Tin Squash Rackets Club 5,Wu Kan Wah Kit (20),Wu Kan Wah Kit (19),Wu Kan Wah Kit (95.0%)
South China Athletic Association,Leung Kam Yau Hardy (19),Tai Dhubal Koon Ho (13),Tai Dhubal Koon Ho (81.2%)
TNG 2,Tam Tsz Lung (15),Li Yuen Man (8),Cheung Hei Kwai (63.6%)
The Squash Club 2,Wong Him Yui (19),"Ngan Xyan, Cheung Yue Ang, Ng Frank Wan Kit (7)",Ngan Xyan (53.8%)
Tuen Mun Squash Club,"Ma Charles Chun Fung, Wong Kwok Hee (15)","Ma Charles Chun Fung, Wong Kwok Hee, Ko Yat Ming (9)",Ko Yat Ming (81.8%)
United Services Recreation Club 3,Yuen Kermit Ka Fai (19),"Yuen Kermit Ka Fai, Mirapuri Rajesh (13)",Ku Wai Hang William (100.0%)
