Team,Most Games,Most Wins,Highest Win Percentage
Arctic Circle,Wong Wai Ling Helen (6),Wu Chi Wai (5),Wu Chi Wai (100.0%)
Bravo D13,Chow Pui Sing (8),Chow Pui Sing (7),Chow Pui Sing (87.5%)
Greenfield,Chan Kwok Wa (7),Chan Kwok Wa (7),Chan Kwok Wa (100.0%)
M&M Squash,"Lam Ngo Sze Osee, Yim Yu Tak (7)",Wong Marcus (5),Wong Marcus (83.3%)
North District Sports Association 2,Leung Yat Hei (8),Dogra Vijendra Singh Balbirsing (6),Dogra Vijendra Singh Balbirsing (100.0%)
Physical Chess 4,Yuen Lok Hang (7),Yuen Lok Hang (5),Yuen Lok Hang (71.4%)
Royal Hong Kong Yacht Club Div 13,Zirah Pierre-Alexis Joachim (8),Zirah Pierre-Alexis Joachim (8),Zirah Pierre-Alexis Joachim (100.0%)
Squashathon PLZ,Leung Ka Luen Wilson (7),"Chow Ka Lun, Leung Hok Sum (5)",Chow Ka Lun (100.0%)
Star River 3,Wong Bao Kwong Chi (8),Wai Veronica Chi Man (4),Wai Veronica Chi Man (80.0%)
TNG 1,Kwok To Yan (6),Kwok To Yan (5),Kwok To Yan (83.3%)
TNG 2,"Chan Shun Ting, Chan Hong Ting (6)",Chan Hong Ting (6),"Koon Long Ying, Chan Hong Ting (100.0%)"
Vitality Squash 3,"Tsoi Cheuk Hin Kieran, Luk Argen (6)",Chen Marshall Youpeng (3),Chen Marshall Youpeng (60.0%)
